Neighborhood	City	State
Ironbound	Newark	NJ
Back Bay	Boston	MA
Wicker Park	Chicago	IL
Capitol Hill	Denver	CO
Haight-Ashbury	San Francisco	CA
South Beach	Miami	FL
Greenwich Village	New York	NY
Soulard	St. Louis	MO
Kensington	Philadelphia	PA
Ballard	Seattle	WA
Midtown	Atlanta	GA
Logan Square	Philadelphia	PA
The Loop	Chicago	IL
South End	Boston	MA
Bucktown	Chicago	IL
Lower Garden District	New Orleans	LA
Five Points	Denver	CO
Echo Park	Los Angeles	CA
Fishtown	Philadelphia	PA
East Village	New York	NY
Mount Adams	Cincinnati	OH
Pearl District	Portland	OR
Uptown	Dallas	TX
Old City	Philadelphia	PA
U Street	Washington, D.C.	DC
Nob Hill	San Francisco	CA
Montrose	Houston	TX
Fells Point	Baltimore	MD
Brentwood	Los Angeles	CA
Central West End	St. Louis	MO
Green Hills	Nashville	TN
North End	Boston	MA
Pilsen	Chicago	IL
Midtown	Memphis	TN
Dupont Circle	Washington, D.C.	DC
Downtown	Los Angeles	CA
Chinatown	San Francisco	CA
Northwest District	Portland	OR
Brickell	Miami	FL
Shaw	Washington, D.C.	DC
Garden District	New Orleans	LA
Queen Anne	Seattle	WA
Rittenhouse Square	Philadelphia	PA
West End	Atlanta	GA
Buckhead	Atlanta	GA
Downtown	San Diego	CA
Murray Hill	New York	NY
South Park	Charlotte	NC
Hyde Park	Chicago	IL
Adams Morgan	Washington, D.C.	DC
Russian Hill	San Francisco	CA
Belle Meade	Nashville	TN
Downtown	Phoenix	AZ
West Village	New York	NY
Downtown	Austin	TX
Highland Park	Los Angeles	CA
Five Points South	Birmingham	AL
Nolita	New York	NY
Old Fourth Ward	Atlanta	GA
River North	Chicago	IL
Short North	Columbus	OH
Allston	Boston	MA
Downtown	Minneapolis	MN
South Congress	Austin	TX
Cherry Creek	Denver	CO
North Park	San Diego	CA
South Side	Pittsburgh	PA
Lower East Side	New York	NY
West Hollywood	Los Angeles	CA
Downtown	Tampa	FL
Noma	Washington, D.C.	DC
Mid-City	New Orleans	LA
Downtown	Cleveland	OH
Gaslamp Quarter	San Diego	CA
Capitol Hill	Seattle	WA
Old Town	Chicago	IL
East Nashville	Nashville	TN
Highland Park	Pittsburgh	PA
Hampden	Baltimore	MD
Downtown	Sacramento	CA
Midtown	Houston	TX
Downtown	Kansas City	MO
Mission District	San Francisco	CA
Downtown	Indianapolis	IN
Wynwood	Miami	FL
West Loop	Chicago	IL
Downtown	Charlotte	NC
Old Town	Alexandria	VA
South Park	Los Angeles	CA
Downtown	Raleigh	NC
Little Italy	San Diego	CA
Downtown	Louisville	KY
Old Town	Scottsdale	AZ
Queen Village	Philadelphia	PA
Brooklyn Heights	New York	NY
North Beach	San Francisco	CA
Southside	Chicago	IL
Downtown	Portland	OR
Gulch	Nashville	TN
Uptown	Minneapolis	MN